Txn Hash,UnixTimestamp,Date Time (UTC),Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX,Volume
0xdd3c1f8b18a3c7f2d4fd8e681aec0b3688c4004a7e5819e69879e5c6333ad504,1632486632,2021-09-24 12:30:32,Sell,50, LIF,0.0165285971114645, ETH,0.00033057,ETH per LIF,Uniswap V3,50
0xfd160c7c5f662bc9c54d76262e8bfcb4528bd70d56f5691b7e455dfe64a86a90,1633717761,2021-10-08 18:29:21,Sell,107, LIF,0.0285352625553373, ETH,0.00026668,ETH per LIF,Uniswap V3,107
0x01218e3c8733d000dd8c0ea1f7e12c7b16e2ce4758d2b9ea881f2485c863cf60,1633792229,2021-10-09 15:10:29,Buy,0.577707986735775, ETH,4750, LIF,0.00012162,ETH per LIF,Uniswap V3,4750
0xf335db3aa2708c50319736e8ed00d04301d2094c02737c165a6fdd685466c9ea,1633799712,2021-10-09 17:15:12,Buy,0.06, ETH,487.023185316846, LIF,0.0001232,ETH per LIF,Uniswap V3,487.023185316846
0xd485bac8c3e2b116ca6e56184c70f8808919040d90124eb879f45c5aefa701cf,1633859229,2021-10-10 09:47:09,Buy,0.13, ETH,1051.20882752264, LIF,0.00012367,ETH per LIF,Uniswap V3,1051.20882752264
0x53b4b364ffaa39be20f142a64764e789f9508852acc638e66c8cd517deaafe4d,1633861803,2021-10-10 10:30:03,Sell,900, LIF,0.110675746774769, ETH,0.00012297,ETH per LIF,Uniswap V3,900
0x7d3a40aee209ee6f093d791db9eb4f1f035bfba68217b59165d5aa903b1a7dd7,1633974343,2021-10-11 17:45:43,Sell,4508.64310254686, LIF,0.547128565762968, ETH,0.00012135,ETH per LIF,Uniswap V3,4508.64310254686
0x5b5bcbe8086cbae13bdf653e4b9840fde5143cdd5e3901bb71b2d4d25a7a48df,1634033570,2021-10-12 10:12:50,Sell,2771.97825070568, LIF,0.330450049206146, ETH,0.00011921,ETH per LIF,Uniswap V3,2771.97825070568
0x439d85c58fa4642284570c5c537e558324ba59dd7d5a8c6a78809a8b1fe314b6,1634058581,2021-10-12 17:09:41,Sell,9375.548, LIF,1.08550236544342, ETH,0.00011578,ETH per LIF,Uniswap V3,9375.548
0xfd767cd4ecd4420af2b848ebd03f9d9bab7927b9c2925581a692a7b1314ca94c,1634235245,2021-10-14 18:14:05,Sell,20740, LIF,2.23797266121086, ETH,0.00010791,ETH per LIF,Uniswap V3,20740
0x31ac0d4cb1cafd5515556c8a49d94496b177dc06e81c9e609db62df909026d08,1634357111,2021-10-16 04:05:11,Sell,5500, LIF,0.558747204063025, ETH,0.00010159,ETH per LIF,Uniswap V3,5500
0x0f3b163c66dd869985df3335eff7967b08c75720235238a26b3c005271b66a34,1634487742,2021-10-17 16:22:22,Buy,0.561309099207024, ETH,5492.01043650458, LIF,0.0001022,ETH per LIF,Uniswap V3,5492.01043650458
0x76246f61180fcc932845db8f08b9442f283296ec8556602d4004fa93ab7ae0a5,1634489227,2021-10-17 16:47:07,Buy,0.26266971607651, ETH,2523.94589744894, LIF,0.00010407,ETH per LIF,Uniswap V3,2523.94589744894
0xbe455541cb7861c61388ef7dbdc141b4deb7998b9c6cb27c12038e459c3cda6c,1634500667,2021-10-17 19:57:47,Sell,9304.22479296259, LIF,0.948, ETH,0.00010189,ETH per LIF,Uniswap V3,9304.22479296259
0xfed9b2c613eba65def0fd77c57aa84346c2c45210855fc92f5f6174893f3da92,1634559037,2021-10-18 12:10:37,Buy,0.266, ETH,2634.30476969079, LIF,0.00010098,ETH per LIF,Uniswap V3,2634.30476969079
0x69e5dc2c62f59bef0b6c7084f5b7a7221c65ac08ede0136011c4317b7af51956,1634559489,2021-10-18 12:18:09,Sell,2640.20703120041, LIF,0.265, ETH,0.00010037,ETH per LIF,Uniswap V3,2640.20703120041
0x86235f4cd8d8d231c83ed4dd4b4e74b7a2fe8d1b612169394b715ac5dc8b32df,1634630788,2021-10-19 08:06:28,Buy,0.075335, ETH,749.222197779273, LIF,0.00010055,ETH per LIF,Uniswap V3,749.222197779273
